x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.3099009,-1.3156275,-1.028797,-0.92281264,0.1527868,0.63484216,0.6171772,0.52222914,-0.07314958,1.5220356,-0.27002916,-1.0938368,-1.4382817,-1.0466719
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.31051743,-1.3668275,-0.9459719,-0.8954044,-0.29061836,0.66809976,-0.34657905,0.40951282,-0.06823509,1.6535014,-0.32151112,-1.165145,-1.5737703,-1.3580195
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.31340212,-1.3557402,-1.0183502,-0.9253951,0.37667757,0.58036286,-0.26288086,0.4367267,-0.027070088,1.649187,-0.23584989,-1.2019311,-1.4499019,-0.7756606
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.3113249,-1.3495904,-0.90667135,-0.92863727,-0.087565504,0.5360953,0.18302979,0.46483412,-0.010865336,1.6201348,-0.39236796,-1.5195323,-1.3837665,-1.0091621
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.32350308,-1.3390193,-1.0537137,-0.8928434,0.5115318,0.48465118,-0.41259375,0.5528872,0.026744159,1.6360571,-0.42875373,-1.4499266,-1.4031814,-1.2187417
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.29588428,-1.2995362,-1.0499952,-0.91760457,0.48008648,0.46489522,0.1607177,0.5530292,-0.013713454,1.6674185,-0.30403754,-1.2153038,-1.5606723,-1.2554524
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.31904775,-1.319734,-0.88170403,-0.9025498,-0.128455,0.63396186,0.41985822,0.543182,-0.24126464,1.6769706,-0.39700454,-0.5667084,-1.4710388,-1.0103186
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.18319507,-1.3203206,-0.83350813,-0.9202006,-0.601958,0.45386854,0.09245556,0.5368564,0.06347484,1.6149787,-0.30975956,-1.5598903,-1.4680427,-1.029949
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.32142544,-1.2668992,-0.93835676,-0.9076754,-0.7028905,0.59633064,-0.1974264,0.3687079,-0.059032675,1.6672915,-0.24312583,-1.3458059,-1.5440474,-1.1782038
0.0,-0.1,1.4,-0.5235987755982988,0.0,0,-0.3796341,-1.2664177,-0.9700655,-0.91920483,-0.23136985,0.35093474,0.11076585,0.5298307,-0.07609456,1.5399425,-0.35031724,-1.516709,-1.430715,-1.1882668
