x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0289713,-0.31764185,-1.501304,0.04223958,-0.26651207,-0.22872627,1.5330771,0.97956026,-0.85658777,0.9662054,0.004910936,-0.21481681,0.61856914,-0.9499652
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0328813,-0.3499992,-1.4829954,0.02321126,-0.171667,-0.20606923,1.5040531,0.9964207,-0.84947175,0.9700174,0.0017772609,-0.2028914,0.64098626,-1.0025381
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0352879,-0.30473045,-1.497147,0.03933038,-0.21863943,-0.2450257,1.522066,0.98860544,-0.8633035,0.971424,0.018534226,-0.20875022,0.6304872,-1.0735936
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0182663,-0.2993662,-1.510791,0.059076503,-0.22210148,-0.23442449,1.4641868,0.9723963,-0.86956596,0.9677424,9.142011e-05,-0.19964145,0.6278803,-1.0193328
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0234338,-0.32130837,-1.492799,0.039150532,-0.18577763,-0.24097046,1.5143021,0.9857675,-0.85231626,0.9767649,0.0006384094,-0.21482009,0.64977825,-0.935447
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0250422,-0.32659292,-1.4956963,0.049659364,-0.19716261,-0.25444502,1.4786888,0.98765194,-0.8455321,0.9704244,0.011532315,-0.20360316,0.6238228,-0.9803407
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0424643,-0.2884197,-1.4877125,0.026081603,-0.22883214,-0.25836423,1.4840935,0.9940084,-0.8487167,0.9630365,0.01087612,-0.19109853,0.61670744,-0.91877574
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0200214,-0.28338948,-1.5012417,0.039444104,-0.1604644,-0.25538597,1.4595642,0.9860089,-0.853934,0.9777738,0.009486803,-0.1991591,0.6251371,-0.93854904
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0172672,-0.31324062,-1.4955384,0.047727186,-0.28651944,-0.20406151,1.4660357,0.99186003,-0.8606842,0.9619672,0.01455309,-0.21194474,0.62896097,-1.0319145
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.0371221,-0.34268135,-1.4871869,0.026928846,-0.25976363,-0.19302353,1.5082365,0.97813314,-0.8372859,0.9728703,0.009516631,-0.19504435,0.65346366,-0.9929906
0.0,-0.1,1.5,0.0,0.5235987755982988,0,-1.044379,-0.3227901,-1.4847602,0.043251585,-0.19260742,-0.20339136,1.4891329,0.98241127,-0.84670126,0.96349466,0.0012328738,-0.20885697,0.61454684,-0.8764001
