x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.57055014,-0.93302274,-2.7314029,0.12761626,0.12337282,1.4909409,0.053342253,-0.002610108,-0.5507009,-1.8798211,1.0771673,-0.3573691,1.5505008,-1.295067
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5764908,-0.934514,-2.7164118,0.21111839,0.12431399,1.4915127,-0.118427314,0.034208782,-0.52185345,-1.8761641,1.1063157,-0.32949942,1.5538045,1.7429543
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.6024709,-0.9125178,-2.7250981,0.20868428,0.124113165,1.512742,-0.13727745,-5.221152e-05,-0.42427152,-1.8520011,1.0971988,-0.3942302,1.5495747,0.8793082
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5975623,-0.935471,-2.757525,0.14978081,0.12294902,1.518958,-0.090241745,-0.0017988831,-0.61033416,-1.8558781,1.0807092,-0.37069348,1.549077,-1.6477559
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.60839194,-0.9045416,-2.705772,0.1518026,0.14390624,1.4825207,0.21597737,0.0005509235,-0.56350476,-1.8578539,1.1401494,-0.38725322,1.5555794,1.9685041
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59766597,-0.90303636,-2.729535,0.16056377,0.079524346,1.5245143,-0.12273545,-0.003664552,-0.29321882,-1.8785136,1.1390603,-0.31349206,1.5446644,-0.91456467
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59379286,-0.92486423,-2.7447405,0.15834752,0.09604792,1.5017716,0.016143208,-0.029744966,-0.5664705,-1.894397,1.1491249,-0.34895992,1.5437148,2.258628
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5859012,-0.92646813,-2.704927,0.1164322,0.118003905,1.503549,-0.13063243,-0.0007602977,-0.46242493,-1.888879,1.1160779,-0.34787238,1.5529939,-0.30659404
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5981553,-0.896729,-2.683582,0.13752906,0.09746379,1.5296545,-0.16015215,0.03620214,-0.44051737,-1.8862852,1.1576693,-0.35239244,1.5500658,-0.0141001
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.6127834,-0.91295344,-2.7357504,0.17397465,0.12468431,1.5018879,0.03460349,-0.039698426,-0.48753983,-1.850249,1.166715,-0.3265331,1.5505334,2.4386215
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58538103,-0.9187772,-2.7299328,0.21013048,0.13311261,1.5162116,-0.104894005,-0.041008845,-0.4916411,-1.8421206,1.1316745,-0.3435879,1.5476587,-2.617405
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59530556,-0.8946676,-2.7346299,0.14207943,0.11722964,1.5201508,-0.11112831,-0.0027777855,-0.5409914,-1.8874207,1.09556,-0.36652097,1.557928,0.6645966
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.61052597,-0.9297865,-2.7177348,0.21080405,0.13632071,1.4885496,-0.11065772,0.023008114,-0.47321284,-1.8881588,1.1293557,-0.41643727,1.5521145,1.2506691
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58457005,-0.91750443,-2.7434483,0.15807854,0.13075075,1.5051659,-0.06648765,0.009721914,-0.42610034,-1.8790817,1.1407037,-0.3284973,1.556256,-0.020974303
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5762815,-0.912094,-2.729098,0.17528142,0.10373056,1.513623,-0.11200289,-0.031008182,-0.48238295,-1.8583277,1.1099645,-0.35455003,1.553662,0.3671349
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5490712,-0.91112614,-2.7359712,0.15804663,0.11527259,1.5252289,-0.08889962,-0.018381456,-0.4281222,-1.8950139,1.1611332,-0.3332569,1.5478017,-0.99835557
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.56982595,-0.9073134,-2.7213564,0.13427994,0.13004155,1.5259806,-0.2172819,-0.038080934,-0.54699796,-1.885436,1.1192465,-0.36225575,1.5484567,2.173779
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58817863,-0.94844425,-2.7162473,0.14995098,0.107613064,1.5021151,-0.09279784,-0.021638041,-0.54275894,-1.8650538,1.10748,-0.34409195,1.5468912,1.4557977
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.6145141,-0.92918146,-2.7180414,0.18687865,0.1071774,1.5043966,-0.061282963,0.008944154,-0.5958624,-1.8768579,1.1166021,-0.36197823,1.5555825,-0.1756652
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.61176115,-0.94354075,-2.7259088,0.16274261,0.12537661,1.4862775,-0.1347239,-0.00092870474,-0.57437044,-1.892987,1.1558219,-0.35373867,1.5554125,1.1628993
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58781946,-0.930111,-2.722459,0.19616774,0.078923896,1.5317,-0.11159186,-0.00886643,-0.50253636,-1.886176,1.1463524,-0.33467278,1.5464256,0.8413375
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5665387,-0.91749066,-2.727186,0.1897741,0.095736876,1.4938407,-0.21784553,0.039971747,-0.54424214,-1.8650744,1.1011928,-0.4003094,1.5504106,1.9881258
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5742252,-0.9316134,-2.7038374,0.17202859,0.103518315,1.4896953,-0.049412403,0.016221775,-0.5848754,-1.8679425,1.1275637,-0.34020975,1.5448287,0.92889136
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5805763,-0.9246443,-2.7203333,0.18805197,0.093313225,1.4974968,-0.12979527,0.033861574,-0.510672,-1.9100486,1.1143736,-0.34454307,1.5500312,-0.31628165
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.594525,-0.93042123,-2.7266006,0.17154382,0.12487011,1.5287312,-0.09756519,0.019183047,-0.47399202,-1.888557,1.141782,-0.37816286,1.5432615,0.41562974
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58288425,-0.93064225,-2.7160068,0.13936561,0.111236595,1.5292821,-0.20451163,-0.025945237,-0.5233184,-1.8700432,1.1068317,-0.3411879,1.5475546,0.30864692
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5695409,-0.925843,-2.720047,0.16754387,0.12903345,1.5035369,-0.05289812,0.019168438,-0.56916827,-1.8833776,1.1411585,-0.3577659,1.5532614,1.4662514
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59579235,-0.94634455,-2.7401383,0.18512477,0.104655966,1.5135052,-0.24240553,-0.0013013073,-0.5172936,-1.8829741,1.1084784,-0.3687738,1.5406138,0.55859035
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5782627,-0.9361034,-2.724056,0.17471454,0.10701502,1.5002147,-0.11150849,-0.00021541117,-0.513133,-1.8452063,1.1315956,-0.3488587,1.5546807,0.8498752
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.593002,-0.94636375,-2.7095833,0.1847143,0.09318486,1.5168577,-0.21784687,0.0023523597,-0.5331653,-1.9130039,1.1288748,-0.3588303,1.5513054,0.429062
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.56598175,-0.9075971,-2.7199175,0.19409338,0.15491734,1.5133741,-0.024073614,0.006687114,-0.45960256,-1.864899,1.0735111,-0.31993717,1.557283,-0.8670317
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.60291016,-0.9223368,-2.693663,0.1594789,0.15980656,1.5275649,-0.043360177,-0.052227832,-0.57386756,-1.8623743,1.1436294,-0.39470118,1.5526072,0.628508
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.607082,-0.9237795,-2.7121515,0.15982746,0.12950382,1.5090046,0.1371542,0.022518585,-0.5091494,-1.8653965,1.1463594,-0.3573504,1.5539825,0.26771292
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.55790645,-0.92351955,-2.721464,0.18877682,0.097401835,1.5187354,0.01246016,-0.014818295,-0.42110282,-1.8690691,1.1526121,-0.3314972,1.5501956,-0.97262317
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.57462144,-0.9406573,-2.7461662,0.17924996,0.1526883,1.5135005,-0.10382579,0.008227966,-0.52833706,-1.9067142,1.1291482,-0.33340862,1.5538808,-0.607661
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58666605,-0.9310238,-2.7373288,0.16511914,0.09367647,1.5305572,-0.04160949,0.013139758,-0.62305975,-1.8510861,1.1483248,-0.39176887,1.548085,-0.18120116
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5773888,-0.912979,-2.7127442,0.17779732,0.14173263,1.4918609,0.077153005,0.0033066324,-0.56336313,-1.8645827,1.12337,-0.33317178,1.546905,-1.9245481
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5849344,-0.91717094,-2.7299201,0.16461931,0.112762585,1.5061378,-0.032016266,0.03269223,-0.52452105,-1.8873603,1.1363169,-0.36953726,1.5513618,0.28826857
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5978845,-0.9158367,-2.7377434,0.15665917,0.1244301,1.5198866,0.15264414,-0.004035373,-0.487303,-1.9183388,1.112934,-0.32480267,1.5535723,0.66933566
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.56557477,-0.92898333,-2.714888,0.1563638,0.13819589,1.512522,-0.07734551,0.027079979,-0.5018572,-1.8970201,1.1201177,-0.3200852,1.5508068,0.52116627
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59078944,-0.9165899,-2.7138524,0.16314521,0.11493301,1.4973586,0.0106469765,-0.035853967,-0.47784495,-1.8637519,1.1151265,-0.3589794,1.5463754,1.5602124
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59241563,-0.93891364,-2.7158358,0.16618836,0.14998838,1.5003811,-0.22072765,0.04146538,-0.6687991,-1.8711433,1.0951673,-0.37224883,1.5467515,-0.1072902
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.6138353,-0.9192148,-2.7436063,0.13961491,0.13096388,1.5139436,0.019886294,-0.05243838,-0.47548348,-1.8858632,1.1293093,-0.33857402,1.5485499,0.55905074
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5763445,-0.9429392,-2.728611,0.19073398,0.13839239,1.5138814,-0.03133487,-0.016297525,-0.45745468,-1.9064384,1.1491907,-0.3422778,1.5491529,-0.24927138
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59050435,-0.91693085,-2.7168493,0.13563254,0.12721522,1.5197984,-0.062532015,-0.019113041,-0.42848483,-1.8710037,1.1080822,-0.3355244,1.5499035,2.2032645
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58506465,-0.9442274,-2.7067175,0.12510379,0.092443936,1.4983265,-0.09939443,-0.010097271,-0.5166837,-1.8833278,1.1105926,-0.32704195,1.5605336,0.45673847
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58177364,-0.9139972,-2.720765,0.20188034,0.12872168,1.523677,-0.09088778,0.003717343,-0.52285767,-1.8648485,1.1408747,-0.3438001,1.5457712,1.5799811
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5865683,-0.9076336,-2.7174313,0.19234754,0.09926917,1.4714292,0.0061198943,0.0036627403,-0.449074,-1.8635149,1.1422191,-0.3130653,1.5474856,1.5757419
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.6143719,-0.9170135,-2.7179031,0.16287892,0.13087815,1.5037521,-0.1432371,-0.034801535,-0.5398998,-1.8767959,1.141416,-0.35004216,1.5507553,0.49514404
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58164054,-0.92054486,-2.7319837,0.16893947,0.116277725,1.4886514,-0.1302795,-0.0033953914,-0.57944626,-1.9026551,1.1333638,-0.36240545,1.555778,0.49217784
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.57946914,-0.9117345,-2.69946,0.17423475,0.1556965,1.5308789,-0.097575784,-0.03659641,-0.5440056,-1.8740969,1.1072184,-0.38476527,1.5491178,-0.1108679
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.561583,-0.95547104,-2.7359183,0.2093434,0.14526162,1.495924,-0.06998911,0.0061620628,-0.4353967,-1.8493675,1.1223004,-0.36500552,1.550924,2.19645
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5908961,-0.9254701,-2.7055914,0.17429884,0.12051273,1.502562,0.008061316,0.040259898,-0.5114895,-1.8511745,1.1005797,-0.34918165,1.5439564,-1.2986162
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.60250473,-0.9148078,-2.7192023,0.15226199,0.15736708,1.5125465,-0.19760764,0.020795561,-0.59810525,-1.8925687,1.1392224,-0.38083577,1.5502336,0.65934074
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5934113,-0.9397742,-2.7014322,0.19546013,0.13973643,1.4694692,-0.060072668,-0.018149026,-0.5884917,-1.8863003,1.1208713,-0.36631614,1.544626,0.58517534
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59852266,-0.92576325,-2.6987712,0.20244087,0.12691979,1.4941851,-0.059676945,0.006818698,-0.53766006,-1.8896292,1.1225033,-0.35014105,1.5501028,0.16515508
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5634477,-0.9547562,-2.7250056,0.16316454,0.100297734,1.520098,-0.1301172,-0.038847055,-0.5231725,-1.8898096,1.1108608,-0.31048793,1.5473046,0.69623315
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.59067,-0.94150436,-2.734122,0.21206112,0.114116296,1.5154797,-0.08191808,-0.01376431,-0.46695492,-1.8483434,1.1300647,-0.35737413,1.5455841,0.5984899
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.58158904,-0.9510415,-2.7312753,0.18171819,0.112380065,1.519065,0.014615269,-0.002862054,-0.45175403,-1.8826406,1.0735743,-0.30709803,1.5473784,2.8779073
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5959244,-0.9096583,-2.732122,0.18829934,0.09557209,1.4983048,-0.30064648,-0.07971776,-0.4396737,-1.8602985,1.1274598,-0.32643884,1.5505438,-1.8798989
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5879446,-0.9204557,-2.7477615,0.15320517,0.120989986,1.5083101,0.011178523,0.035784416,-0.43219894,-1.8658009,1.0821024,-0.34898376,1.5455924,0.92307395
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5692755,-0.9263763,-2.718946,0.16934283,0.14001466,1.5047266,-0.1379223,0.021937452,-0.32311246,-1.8783827,1.0964264,-0.32931215,1.5546304,-2.021349
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.57213426,-0.9213885,-2.745764,0.22029902,0.116500944,1.515945,-0.022155846,-0.06922839,-0.45683095,-1.849666,1.1165253,-0.35874102,1.5454684,0.49871427
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5907709,-0.93109536,-2.7114372,0.1433751,0.12593466,1.510126,-0.21990721,0.021358134,-0.61012644,-1.9218172,1.0734963,-0.35533056,1.5417002,0.51488894
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5772221,-0.929315,-2.7356575,0.18451773,0.13924241,1.4938357,-0.14462538,0.006318474,-0.45704865,-1.8411111,1.0844752,-0.3484548,1.553901,-2.06257
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.60052884,-0.93068117,-2.7246196,0.16134489,0.12615465,1.510196,-0.0921507,-0.037640262,-0.55041295,-1.8922583,1.1339418,-0.35676026,1.5490745,0.32921955
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5823051,-0.92506796,-2.7020578,0.12586117,0.13002437,1.4936192,-0.112461716,0.021313211,-0.42216125,-1.85765,1.1057596,-0.3068908,1.5528578,0.85457027
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5915493,-0.93148106,-2.7195816,0.22304605,0.1123728,1.4891814,0.00271139,0.0146042975,-0.55404246,-1.8554871,1.1463124,-0.3568408,1.5488412,-1.8460187
0.0,0.0,0.9,0.5235987755982988,0.5235987755982988,0,-0.5651612,-0.8879285,-2.7080755,0.1775112,0.11452616,1.5014879,-0.04157298,-0.010534255,-0.37234008,-1.8848203,1.123567,-0.3507213,1.5567865,1.6733103
