x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.72742116,-1.2572548,-2.208079,0.0631493,0.27721614,1.365565,0.28300795,2.0848768,-0.99287707,0.9666899,0.6609536,-0.3147547,1.4079945,2.6132145
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.68537796,-1.2250481,-2.1838715,0.024786565,0.1560698,1.4182662,0.21108146,2.0316122,-1.0102067,1.0523647,0.6869644,-0.34513742,1.4078416,1.3599883
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.6875192,-1.2315822,-2.1819632,0.09157657,0.07641075,1.4328437,0.32143232,2.1854386,-0.98622584,0.9363799,0.63689315,-0.30604434,1.4229102,1.9382961
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.6461402,-1.2018554,-2.188805,0.011186156,0.08608146,1.47003,0.49355346,2.3486753,-1.0171837,0.96515864,0.6623185,-0.28884178,1.4273204,2.2099721
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.7062828,-1.2638559,-2.19107,0.039135348,0.18355075,1.352748,0.64357656,2.2377684,-1.001552,0.96063465,0.6654023,-0.3548582,1.3785334,1.748731
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.6931369,-1.2189167,-2.1837714,0.041373983,0.19005735,1.3023391,0.42635998,2.0993779,-1.0211141,1.0001401,0.72050995,-0.28778476,1.3942255,2.0338802
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.7160113,-1.2448367,-2.2667093,0.07037591,0.057544842,1.3437961,0.38659137,2.0660088,-0.98246676,1.0082552,0.66639245,-0.31539232,1.4235979,2.5254474
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.7447826,-1.2601051,-2.14195,0.039529927,0.23692124,1.321415,0.60741574,2.179221,-1.0120833,0.97822976,0.637883,-0.37472165,1.3772011,0.71622795
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.693641,-1.2548491,-2.2024148,-0.0010634523,0.28855288,1.4884461,0.3555132,2.2379262,-1.0093824,1.017326,0.6892146,-0.35507026,1.3848728,1.415796
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.6933147,-1.2332001,-2.1034672,0.020486658,0.14387748,1.3984674,0.4611183,2.1873097,-0.9576699,1.0004917,0.6681305,-0.3657,1.4087698,0.8283292
0.0,0.0,1.0,-0.5235987755982988,-0.5235987755982988,0,-0.68451506,-1.2485156,-2.2161314,0.069758005,0.106567696,1.3595493,0.06879513,2.1565437,-0.97431725,0.99863946,0.68120795,-0.32912624,1.3986323,1.875037
