x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.8483699,-1.230861,-2.1265278,0.13582364,0.27368268,1.2852104,0.21546514,1.995131,-1.2383561,0.5901534,1.0965345,0.11169855,0.70763665,-1.4208393
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.89546984,-1.2159748,-2.1310198,0.14662527,0.25141248,1.2866164,0.19798985,1.9956495,-1.2259476,0.59711343,1.0998307,0.09120506,0.7127688,-1.3693161
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.8741469,-1.2117202,-2.125489,0.14935459,0.21097644,1.2858374,0.22600378,1.9956678,-1.2349949,0.60055465,1.1064258,0.11466309,0.64548194,-1.377565
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.85090363,-1.24579,-2.1286073,0.14944999,0.25221372,1.2805812,0.20200852,2.0009658,-1.2412488,0.5888785,1.0904202,0.09960868,0.66909564,-1.4173412
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.8933709,-1.2334223,-2.1332393,0.14378111,0.22385083,1.2887492,0.21658786,1.9982386,-1.2420825,0.59782463,1.0778413,0.08702072,0.69241583,-1.3845646
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.83117795,-1.247079,-2.1241374,0.13843922,0.24065141,1.2721717,0.20083423,2.0021658,-1.2360284,0.59569556,1.084651,0.07589378,0.71787816,-1.3928664
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.84403026,-1.2611775,-2.1245346,0.13965349,0.23492555,1.2794255,0.18102396,2.0018373,-1.218008,0.5957433,1.0972383,0.07030194,0.7156908,-1.3828384
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.8874048,-1.2442652,-2.123809,0.14280221,0.25435537,1.2841014,0.18733805,2.0096855,-1.2295038,0.58471936,1.0873454,0.08391074,0.705536,-1.4033728
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.8786698,-1.1879796,-2.132671,0.14699088,0.24752612,1.2802839,0.22981293,1.9842507,-1.2322863,0.601603,1.1065878,0.122111194,0.69122106,-1.3843722
0.0,0.0,1.0,-0.5235987755982988,0.0,0,-0.87624305,-1.2004043,-2.1234822,0.13302019,0.2730196,1.2755532,0.19511698,1.9969895,-1.2406371,0.6073749,1.0855305,0.08413676,0.7116027,-1.3598883
