x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0405248,-1.3991328,1.1818949,-0.074933164,-0.005081964,1.205131,-0.44651014,0.6771057,-1.0092572,-0.09929435,-0.009387639,-0.096524276,1.1547288,0.4133477
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0398813,-1.3991705,1.1944592,-0.08071611,-0.056468777,1.1874822,0.35544235,0.6909125,-1.0124671,-0.11641411,0.0052123303,-0.037754595,1.0753506,-0.4248539
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0399109,-1.3991587,1.1937168,-0.06673388,-0.018663181,1.1938103,0.33697414,0.6855772,-1.0145197,-0.117006734,-0.048276227,0.010098149,1.1727918,0.9265553
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0396887,-1.3987675,1.1851074,-0.08867435,0.025614753,1.1855037,0.1102919,0.69230217,-1.0111021,-0.14492436,-0.0408171,-0.022099925,1.070724,0.41324183
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.040928,-1.3985312,1.1657014,-0.06347209,0.017938022,1.1632887,1.6815338,0.68769056,-1.0138075,-0.086008854,-0.0042300713,-0.0036119246,1.1915964,-0.5136103
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0403142,-1.3987548,1.1766992,-0.05462508,-0.013989662,1.2136592,-0.34853894,0.683934,-1.015667,-0.12991616,-0.0077485084,0.015274348,1.1221864,0.5458838
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0403411,-1.3984363,1.1820852,-0.072469026,-0.027250912,1.189013,-0.8190672,0.6919273,-1.0102699,-0.12275802,-0.018863134,-0.07171652,1.1399322,0.2663454
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0402077,-1.3986454,1.1996791,-0.08348914,-0.0143906595,1.2023066,-1.3903496,0.6841699,-1.0166178,-0.10942518,-0.015754988,-0.021193136,1.0684892,0.28081295
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0401896,-1.3987375,1.2022672,-0.083626,-0.007817775,1.1992456,-0.010400509,0.6901682,-1.0180212,-0.059032336,-0.017759247,-0.044008866,1.1114898,-0.10620137
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0406557,-1.3984803,1.2080523,-0.07571916,0.014521243,1.1815354,1.2898457,0.6770714,-1.0101401,-0.123897895,-0.028972264,0.0076617757,1.0843267,-0.5120185
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0402495,-1.39861,1.1825325,-0.08943261,-0.027330723,1.1766039,-0.33226,0.6849078,-1.0122832,-0.073621504,-0.025927864,-0.004896208,1.1009494,0.5619337
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0409623,-1.3984405,1.1902475,-0.066218756,0.023886396,1.1955138,0.58148164,0.6932377,-1.0188463,-0.056351602,-0.022724178,0.018067632,1.1142125,0.85344446
-0.1,0.0,1.0999999999999999,0.0,-0.5235987755982988,0,-1.0402153,-1.3989906,1.2045202,-0.07507504,-0.029269055,1.1736602,0.26468855,0.6980209,-1.0101959,-0.06577469,-0.021070065,-0.034935147,1.1295016,-0.3466857
