x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.042276476,1.2362125,0.044937845,-0.09766401,0.038004566,1.2903224,0.8977284,-0.49873018,1.1546135,-0.9476013,-0.09576161,-0.8858715,1.0423732,-0.58235383
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.07615462,1.2131869,-0.16414951,-0.051913142,0.16062771,1.2949605,0.30824128,-0.49702063,1.153029,-0.948782,-0.092766516,-0.8451285,1.0579118,0.38856363
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.027866522,1.2840111,-0.22868042,-0.11233763,-0.030611403,1.1968114,-1.1023715,-0.48909378,1.1564518,-0.967147,-0.094517946,-0.8646522,1.047795,1.4175005
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.18506742,1.2508115,-0.35071054,-0.04807428,0.13955584,1.2479676,0.87328047,-0.4928553,1.1540564,-0.9484787,-0.09481153,-0.8709148,1.0608202,-0.85772175
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.45479923,1.310648,0.03609226,-0.10942814,0.0049203825,1.2004653,-1.8367732,-0.4956374,1.1545961,-0.9550701,-0.09436862,-0.8375276,1.0509294,-0.9884644
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.32913244,1.2037504,-0.18944839,-0.101417676,0.010690008,1.2539942,-1.5204694,-0.4910546,1.1556715,-0.94047594,-0.09462048,-0.8446551,1.0485986,-0.8195966
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.841399,1.2815068,0.24933182,-0.07238459,-0.2661493,1.2929219,-0.0022881776,-0.49234477,1.1516289,-0.93328226,-0.094782814,-0.86132723,1.0345637,-0.5824318
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.6835779,1.2987404,-0.17473109,-0.09354518,-0.1535449,1.3189579,-2.7663062,-0.49769297,1.1524677,-0.928395,-0.0933708,-0.884672,1.0550246,-0.5455917
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.7956868,1.2794293,-0.20871629,-0.07411534,-0.09469126,1.2257574,1.8927095,-0.49521613,1.1555864,-0.9373618,-0.095273726,-0.8591975,1.0325474,-0.8135613
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.048685696,1.3253274,-0.25488344,-0.086589985,-0.0668967,1.2839599,2.0033505,-0.49162197,1.1556433,-0.9392313,-0.09605291,-0.90672743,1.0513319,-0.0088472385
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.06344286,1.2427642,-0.040722895,-0.085582465,0.029032728,1.2149501,-0.110524386,-0.49562073,1.1521652,-0.92917925,-0.096351355,-0.8128388,1.0554378,0.48183405
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.31532294,1.2262248,-0.0625639,-0.11571475,-0.2395913,1.2560507,1.9614348,-0.4920571,1.1556464,-0.9265281,-0.09142246,-0.8726203,1.0624129,-1.7601955
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.36970294,1.2719485,-0.11522073,-0.07876694,0.26198095,1.2253469,-0.6579627,-0.49442023,1.155298,-0.9440808,-0.09469218,-0.88925433,1.0474039,-1.2385737
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.86353105,1.2798569,-0.3368157,-0.07793128,0.1101269,1.2298406,1.7972987,-0.49123967,1.1518621,-0.933804,-0.09670295,-0.8769025,1.0365772,0.49320558
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.75871336,1.3008953,0.0030018094,-0.09147527,0.004171803,1.224514,-1.7099864,-0.49483657,1.1484108,-0.94557995,-0.091843404,-0.83170146,1.0378449,-1.0372726
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.6720316,1.289834,-0.01790812,-0.076770335,-0.029988643,1.3429853,0.8785422,-0.49446782,1.1494454,-0.94531435,-0.09186425,-0.8540331,1.053698,-0.79644114
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.43672785,1.2852336,-0.22944199,-0.063666314,0.09258617,1.2031052,-0.11777768,-0.4954301,1.1541399,-0.9332405,-0.092705175,-0.8484161,1.0435785,-1.9467074
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.48602942,1.2727646,-0.21331939,-0.079713516,-0.13731283,1.4095482,1.3203017,-0.49634412,1.1569482,-0.9492615,-0.090436295,-0.8763326,1.0391544,-1.0551404
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.26676458,1.2797462,-0.17476223,-0.074931845,-0.24503224,1.0764602,1.1270243,-0.4944385,1.1518573,-0.93975556,-0.09349115,-0.86295354,1.0384369,-0.12834434
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.4533763,1.1738185,-0.17920889,-0.07073679,0.028869087,1.2648605,0.24096656,-0.49884197,1.1559272,-0.93886447,-0.09479305,-0.8570695,1.0496415,-0.9935934
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.076600455,1.2345618,-0.05799105,-0.081319176,0.060018316,1.2740127,0.25487682,-0.49285907,1.1526719,-0.9460086,-0.0945789,-0.86337835,1.0470611,-1.569852
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.5434936,1.3082415,-0.00937416,-0.0838979,-0.007604611,1.3957576,0.7154782,-0.4953322,1.1526027,-0.94654095,-0.09638147,-0.8560293,1.046649,-0.5749225
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.63429123,1.33259,-0.05235673,-0.09844156,0.1518321,1.2915299,-0.5263796,-0.49324098,1.1554427,-0.94521016,-0.09626185,-0.86602545,1.036252,-1.109028
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.0092927115,1.2504542,-0.1787772,-0.07543234,0.3733801,1.326025,0.33058316,-0.49466237,1.1522976,-0.93819666,-0.091762654,-0.8557198,1.0474099,0.05218844
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.2744408,1.3649703,-0.48938566,-0.115114935,-0.016893152,1.2965847,-0.004479876,-0.50155824,1.1575048,-0.9439734,-0.09496274,-0.87567574,1.0483171,-0.51210105
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.5937024,1.3791153,0.051696155,-0.09287268,-0.050924458,1.2573997,0.8033517,-0.49709076,1.153011,-0.9513205,-0.093506224,-0.8570887,1.0586383,-0.3678384
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.42799526,1.3366905,-0.10848139,-0.09641891,-0.026969848,1.161126,0.6304884,-0.49274382,1.154624,-0.9330138,-0.096401975,-0.85778064,1.0505028,-1.9648786
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.61855423,1.303157,-0.07193313,-0.07808079,0.074524194,1.2721052,1.1752512,-0.49162465,1.1528369,-0.9340702,-0.098883756,-0.849975,1.0501636,-0.0059096604
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.48372695,1.201979,-0.06471258,-0.08150374,0.01795385,1.2678126,-0.27766737,-0.49705574,1.1555451,-0.9373105,-0.09728573,-0.8699908,1.0468462,0.24602193
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.35938182,1.3361734,0.069011174,-0.063129686,-0.100393414,1.3438097,-0.60103095,-0.4945297,1.1547579,-0.95119435,-0.092658,-0.85408515,1.0551704,0.16817592
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-1.6539494e-05,1.2438886,-0.09813997,-0.07663116,-0.03128938,1.3046672,-1.2514822,-0.494569,1.1555736,-0.9312232,-0.094521716,-0.8758408,1.0557675,-1.9229141
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.31215858,1.2649575,-0.325803,-0.09829805,-0.015914993,1.3423171,0.16761321,-0.49544543,1.156618,-0.93695384,-0.095214486,-0.86251646,1.0505986,0.22508784
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.41809922,1.3148136,-0.10456998,-0.055524014,0.08255067,1.2987249,-0.50246596,-0.4941324,1.1539371,-0.95484596,-0.09623666,-0.86764026,1.0496216,1.1652337
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.65639484,1.3506051,-0.10020921,-0.069668174,-0.02160036,1.2092797,0.16576041,-0.49678838,1.157788,-0.9484765,-0.09384127,-0.8812544,1.0393462,-0.16583776
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.098872684,1.2976195,-0.30135286,-0.07803071,0.10246727,1.2763659,0.5353212,-0.49051934,1.150971,-0.95362693,-0.09245398,-0.8688982,1.034539,-0.6412464
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.68153286,1.3116037,-0.10979251,-0.10001658,-0.17807366,1.3457103,0.36160755,-0.4950259,1.151507,-0.9558785,-0.094850674,-0.85577655,1.0544996,-0.9700995
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.11717487,1.3045509,-0.14362377,-0.13022706,0.033221178,1.2578044,0.5718256,-0.49758518,1.1501886,-0.93836856,-0.09323005,-0.84678376,1.0635166,0.9413253
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.38719022,1.2925148,-0.15164396,-0.07092429,-0.21463011,1.2335801,0.7673818,-0.4914317,1.1542983,-0.92840594,-0.09591762,-0.8471447,1.0463829,-0.8381625
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.5054974,1.2869457,0.10943512,-0.059639737,0.18829727,1.2171017,0.86912555,-0.49082357,1.1527762,-0.92642206,-0.09358971,-0.8813621,1.0266992,-0.66695106
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.13054769,1.2728151,0.012091593,-0.090828896,0.092416145,1.1575238,0.44855824,-0.4964342,1.152492,-0.93779874,-0.09315171,-0.82829094,1.0514802,1.2416531
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.8240123,1.2618124,-0.1253103,-0.084082976,0.07993134,1.1865449,0.0313188,-0.49189323,1.1535586,-0.9438559,-0.09083244,-0.85431784,1.0455705,-0.9092994
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.43577003,1.2181796,-0.1268851,-0.0743998,-0.048341393,1.326384,0.34994036,-0.4969449,1.1567847,-0.94279003,-0.09580355,-0.88842386,1.0294733,-0.16460292
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.12990324,1.251835,-0.031545997,-0.058235966,-0.12605128,1.3239573,1.6097084,-0.49268433,1.1530687,-0.94006413,-0.094215445,-0.8779557,1.0412667,0.21485281
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.09631182,1.2388362,-0.073361784,-0.06493232,0.38098463,1.2517227,0.70456886,-0.49603632,1.1519749,-0.9388894,-0.09574594,-0.84084547,1.0392432,-0.23539841
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,0.3075967,1.276863,0.094617635,-0.08799851,0.028951433,1.3188677,0.7587425,-0.4933146,1.1551907,-0.9346725,-0.09128753,-0.8501074,1.0521884,-2.198703
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.37505668,1.2547498,-0.027955914,-0.06551403,0.19062313,1.2948595,1.0781704,-0.49470907,1.1540262,-0.94204706,-0.0969028,-0.83405125,1.035772,-0.2745749
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.3527769,1.2305889,-0.037167966,-0.041067697,0.098764524,1.296046,-1.8347694,-0.49049732,1.1540912,-0.9446454,-0.09172104,-0.8716367,1.0538083,-0.5101224
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.49024907,1.2647066,-0.095927395,-0.06649175,0.15601797,1.2453126,-0.6594364,-0.49731302,1.1521014,-0.9461819,-0.09300433,-0.85180265,1.0586524,0.3157856
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.40401748,1.2523526,-0.14209837,-0.095365174,-0.13775948,1.3256795,0.51080525,-0.4937669,1.1553497,-0.9415029,-0.09197168,-0.8780885,1.06091,0.41619894
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.07270335,1.299051,0.09480118,-0.07573646,-0.14755137,1.2534194,-1.8320087,-0.49273252,1.1558565,-0.9506977,-0.094606206,-0.8977773,1.0425524,0.124548666
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.103437506,1.2522738,-0.25649852,-0.07915926,-0.35446456,1.2516814,0.3751985,-0.49201778,1.154113,-0.9342368,-0.09459922,-0.85433394,1.0581883,-0.15230086
-0.2,-0.1,0.7999999999999999,0.0,-0.5235987755982988,0,-0.36913136,1.3016695,-0.2597877,-0.053600833,0.14319907,1.3358641,-1.8818326,-0.49596944,1.1520604,-0.95307297,-0.09369942,-0.8739817,1.0561696,-1.1817491
