x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.77222466,-0.87544453,1.6054534,-0.014757532,-0.1328593,1.1173464,0.48922926,1.5203781,1.3809246,0.0515827,-0.12293086,0.02058943,1.2870101,-0.5838284
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7724613,-0.8755322,1.6088547,-0.0017219579,-0.13711922,1.1307935,0.63207597,1.3834443,1.2855589,-0.1312157,-0.051832117,0.2208375,1.339754,-0.7394135
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7724561,-0.8754572,1.6063881,-0.01338023,-0.06501658,1.1070011,0.8414809,1.420477,1.2682406,-0.112472914,-0.06393105,-0.09110549,1.2508161,-1.510289
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7722858,-0.8754661,1.600956,-0.0222759,-0.0663083,1.092837,0.44889858,1.3453999,1.30786,-0.14506371,-0.07835535,-0.036495116,1.308832,-1.1071719
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7721117,-0.87545675,1.601467,-0.028780976,0.11678606,1.0865127,0.045567784,1.6822207,1.2836947,-0.1128659,-0.07799535,0.07966809,1.2691404,0.6230499
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7727866,-0.87537086,1.5974286,0.005579057,-0.055711783,1.1080014,1.1645755,1.4891961,1.3311042,0.118897535,-0.05428694,0.10411267,1.2431549,-0.7298912
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.77260625,-0.87543243,1.5904644,-0.015181907,0.04250782,1.1209176,0.6427493,1.5232503,1.3589575,-0.009112,-0.058190793,0.24436958,1.3082323,-0.3877696
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.77275586,-0.87542933,1.6055851,0.0011266654,0.035455484,1.1143073,0.41970468,1.5555544,1.2861031,-0.011199143,-0.04449434,0.2924341,1.3400434,-0.023056233
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.77214646,-0.8753998,1.6043298,0.0044186604,0.101750515,1.0653023,0.7018546,1.4437306,1.3376356,-0.096135035,-0.06853374,-0.110022336,1.2668655,-0.18496606
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.77198845,-0.8753333,1.6070381,0.028744834,0.08282152,1.1703598,0.38265476,1.4378476,1.2354238,-0.10851171,-0.093551986,-0.15628551,1.2914014,-1.8849849
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7728033,-0.87548184,1.6038198,-0.04054554,-0.060712952,1.0579133,0.24980158,1.378791,1.2792253,-0.037731174,-0.08325758,0.108186625,1.3030156,-1.1468941
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7723032,-0.8753643,1.604336,-0.009134656,0.0547802,1.080392,0.22809722,1.6118416,1.209039,-0.108917825,-0.09644015,-0.07413875,1.2588222,0.17579721
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.77225155,-0.8754771,1.6085416,-0.00085839804,-0.002804574,1.1288241,0.4595744,1.5752546,1.284348,-0.12684494,-0.076879874,-0.04141586,1.3121728,0.029066939
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7719807,-0.8751965,1.61666,0.015741894,-0.08795583,1.0855242,0.4804924,1.4110407,1.2763013,-0.108232945,-0.06740559,-0.08018012,1.2982434,0.38290662
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7726569,-0.8754346,1.6069407,0.0011673572,-0.20007834,1.1084971,0.10117259,1.3824826,1.2268238,-0.18040851,-0.077034816,-0.12125884,1.2369466,-0.60439914
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7730956,-0.87564534,1.6034408,-0.0122971535,-0.06394599,1.0852922,0.46902093,1.4657053,1.2642099,-0.1731684,-0.08599189,0.16992168,1.2963573,-1.0201459
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.77232325,-0.87532175,1.6081921,-0.011529825,0.050519887,1.1127644,0.8623377,1.4711605,1.3323909,-0.015257438,-0.042309914,0.01202154,1.2756569,-0.010268764
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7724851,-0.87530935,1.6097366,-0.010375536,-0.030971186,1.111007,-0.39059353,1.4624889,1.3152771,-0.04740143,-0.060466703,0.009959061,1.280952,-1.8759466
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7726825,-0.8753278,1.6072729,0.004231752,-0.05570691,1.1002588,0.828781,1.6726954,1.2780386,-0.04148815,-0.060788043,0.10896874,1.2623621,-0.7738205
-0.2,-0.1,0.8999999999999999,0.5235987755982988,0.5235987755982988,0,-0.7723914,-0.8753954,1.6022375,0.01621246,0.07011014,1.094729,0.123143755,1.4168195,1.3004998,0.021905351,-0.069325276,0.054409076,1.2891624,-0.6547827
