x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9264971,-1.4722857,1.9853313,-0.036255557,-0.009148407,1.1769187,0.47196537,0.8990641,-0.9364228,-1.2296084,-0.025195654,0.13129441,0.978857,1.2870122
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92862177,-1.474162,1.9838378,-0.10838375,0.03194489,1.2350692,0.59523976,0.8976335,-0.9376148,-1.2307618,-0.019689234,0.13180962,1.0040684,-1.8427806
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9269625,-1.4707676,1.9815438,-0.120473236,0.11585611,1.0774678,0.43550995,0.9005645,-0.9388146,-1.2285881,0.05633578,0.16085638,1.1466815,-1.1734034
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9249599,-1.4734839,1.9829636,-0.041630566,-0.013083984,1.2295924,0.65795696,0.899105,-0.9373582,-1.2355993,-0.016577123,-0.35561526,0.8204062,1.203912
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9262741,-1.4729004,1.9833542,-0.040303968,-0.032983903,1.0637091,-1.6726363,0.8992062,-0.9367728,-1.2367597,-0.010934522,0.13782533,0.9398871,0.2562396
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92652386,-1.4729694,1.9780607,-0.15188606,0.28813234,1.1450038,-0.08246016,0.897759,-0.93738204,-1.2364274,-0.019103667,-0.07156492,0.8196507,-1.0688998
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92605346,-1.4743162,1.9851869,-0.115490034,-0.15231298,1.1641786,-0.066008255,0.89841807,-0.93908477,-1.2406715,-0.012416395,-0.03957768,0.965853,-0.20926169
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9260633,-1.4718808,1.9879898,-0.1275191,-0.08743164,1.1314759,-0.7134251,0.8967565,-0.93928206,-1.2382946,0.03568819,0.31622997,0.9481206,0.46598718
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92638063,-1.474575,1.9821236,-0.13034718,0.045013916,1.261052,-0.78409326,0.8971444,-0.9384077,-1.2369487,-0.05208179,-0.12510642,1.0176921,0.5499138
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9254023,-1.4713529,1.986243,-0.12702578,-0.18639258,1.162589,-0.44044468,0.89675725,-0.9380053,-1.2208627,-0.019071884,0.2107651,1.0441598,-0.58414835
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92603,-1.4727937,1.9867345,-0.14496875,0.30167955,1.2139978,0.6039442,0.89982855,-0.939819,-1.2308381,-0.039742857,-0.22129497,0.94688123,-0.09344956
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9257377,-1.4711226,1.9863632,-0.07536985,0.08898977,1.1854875,-0.4101986,0.89787066,-0.9393575,-1.2280327,-0.05867885,0.10680993,0.8763812,-1.4581702
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9264276,-1.4698218,1.9854025,-0.13382357,0.20081274,1.033796,-0.16326666,0.89850324,-0.93814576,-1.2240161,0.01728022,0.17768334,0.8759811,-1.0598052
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9262343,-1.4749368,1.9840413,-0.06802545,-0.015711512,1.2370616,-0.9133348,0.8983336,-0.93989503,-1.2355195,-0.017159168,-0.10710251,0.9980418,-1.0555567
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9256133,-1.4745988,1.9795123,-0.14963725,0.05244949,1.256358,-0.986975,0.89672285,-0.93734753,-1.2277589,0.01088561,-0.053214915,0.74290574,-0.5342375
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92615354,-1.4713829,1.9747663,-0.13158812,-0.0009301543,1.1123713,-0.15397581,0.89858085,-0.9371563,-1.2379415,0.030333519,0.28590226,1.0126222,-1.3278189
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9256042,-1.4732429,1.9865861,-0.05891162,0.19085693,1.1384298,-0.017115919,0.89727134,-0.9406641,-1.2239199,-0.016094934,0.040899046,0.84066886,0.60361594
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9252789,-1.4776788,1.9854996,-0.08076604,0.0739934,1.0873822,0.29103974,0.9012715,-0.9402209,-1.2387178,-0.031118883,0.18692279,0.9056504,1.6036526
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.9261578,-1.4772955,1.9816655,-0.09460101,0.096001245,1.1098288,0.36549997,0.89721525,-0.93682754,-1.2344404,0.05491057,0.11719566,0.9152349,0.6972239
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92606205,-1.4701158,1.9790289,-0.084062956,-0.014873376,1.1940141,0.009458597,0.89664656,-0.9385974,-1.2328284,0.013180461,-0.082309484,0.74287784,0.0066383593
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92550087,-1.470864,1.9814166,-0.08245813,0.106824555,1.2197046,1.4338176,0.8977552,-0.9393826,-1.2346148,0.037602935,0.16917327,0.8129146,-0.53027415
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92534757,-1.4775498,1.9889611,-0.091941066,-0.084116645,1.196148,0.25062972,0.8988608,-0.9376665,-1.2329534,-0.022801518,-0.01426658,0.8885736,-0.019791668
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92840064,-1.4760615,1.9787925,-0.07607488,0.15078588,1.1583208,-0.5347829,0.8990492,-0.937394,-1.2406492,-0.0120023675,0.2521654,0.8689102,0.4445134
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.926602,-1.4712247,1.9834362,-0.11271372,0.058310416,1.1073042,-0.7899284,0.89794195,-0.9370326,-1.2347021,-0.08585406,0.09102355,0.7910179,-0.36584073
-0.2,-0.1,1.4999999999999998,-0.5235987755982988,0.0,0,-0.92505974,-1.4765147,1.9810041,-0.046908643,0.19329178,1.116543,-0.11930628,0.89882106,-0.938447,-1.2418007,-0.06693575,0.19739807,0.7626423,-0.30197707
