x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9477258,1.4473624,0.10962903,-0.0026766448,0.03292321,1.1766988,0.9066172,-0.5662178,1.4671963,-0.07784891,-0.65122294,-0.13964595,1.4137067,1.4799716
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.8935947,1.4378406,0.106960855,-0.0114568835,0.03543508,1.1925943,0.8138953,-0.5500095,1.4722866,-0.08358519,-0.6273966,-0.12624057,1.4196014,1.5251604
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9676584,1.4339377,0.12549655,-0.008270217,0.04435906,1.1692173,0.8069186,-0.57046676,1.4672579,-0.09361823,-0.6844144,-0.14379549,1.4030226,1.4074184
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9271107,1.4394904,0.117277406,-0.004914254,0.03497854,1.1395165,0.7792758,-0.57365173,1.469533,-0.085353695,-0.7439418,-0.10426853,1.4055518,1.4949583
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9483484,1.4289627,0.097884804,0.003567822,0.042012308,1.1264888,0.9520914,-0.5967347,1.4727027,-0.08956715,-0.57274926,-0.12827845,1.2848439,1.4453528
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9457405,1.4429606,0.10959378,-0.024240969,0.0267137,1.1533206,0.80956185,-0.5811617,1.4689173,-0.09903048,-0.6531846,-0.119012,1.4001902,1.5055665
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9684144,1.4194134,0.11218649,-0.018892901,0.050406214,1.1340963,0.9180206,-0.5771197,1.4705787,-0.09459361,-0.6264297,-0.15252224,1.4180377,1.4153819
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9228119,1.4318454,0.09854933,0.03433038,0.039341174,1.1591699,0.66799456,-0.5940973,1.4708278,-0.08155102,-0.7280563,-0.13855013,1.4311911,1.5150819
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.941082,1.4346299,0.111937314,-0.02167726,0.042958323,1.1634039,0.75842935,-0.54664546,1.4603944,-0.076263465,-0.5852847,-0.124023184,1.3916105,1.4024214
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9708565,1.4284027,0.11427186,0.0010192707,0.033991005,1.1636643,0.9744325,-0.571682,1.4707386,-0.087405115,-0.64995843,-0.14822473,1.3976882,1.5016309
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9291488,1.4515923,0.09840064,-0.0074191187,0.07902315,1.1404629,0.90522987,-0.57627255,1.476137,-0.079597116,-0.6715369,-0.1371984,1.4177499,1.4497608
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9378347,1.4302039,0.1208412,0.001284266,0.04419065,1.1509336,0.8440358,-0.57383436,1.4660882,-0.09335749,-0.71245503,-0.12882707,1.4013722,1.4903897
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9284129,1.4373742,0.09935377,-0.029995173,0.049725827,1.129065,0.80488855,-0.5682844,1.473737,-0.06792955,-0.7585851,-0.15504669,1.4346597,1.4022484
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.943913,1.4335243,0.123822585,-0.05430643,0.045548677,1.144366,0.9188873,-0.57816267,1.4746957,-0.07965222,-0.6607118,-0.14382364,1.4058145,1.4407427
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9107267,1.4231423,0.10375339,-0.025176927,0.05771979,1.1451254,0.8939108,-0.5754712,1.4697891,-0.0751518,-0.6992875,-0.1234723,1.4392532,1.5181339
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.903613,1.443446,0.106307246,-0.018558264,0.053033203,1.169028,0.8149335,-0.55797344,1.4718864,-0.10896634,-0.63568693,-0.11599499,1.3945427,1.4471257
-0.2,-0.2,0.6,-0.5235987755982988,-0.17453292519943286,0.34906585039886606,1.9449698,1.4262612,0.10255678,-0.016257174,0.039473593,1.1695065,0.86006474,-0.53745514,1.4700565,-0.09072365,-0.6196774,-0.13417247,1.4349209,1.5836189
