x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4376857,1.5589694,0.14574094,0.16331987,0.506772,0.9345109,0.29408458,-0.43420607,1.450047,-0.10789026,-0.5845637,0.023603404,1.3513987,0.22575782
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4347004,1.5589325,0.1434226,0.16707033,0.49749455,0.93582183,0.2947065,-0.43456545,1.4530835,-0.11965725,-0.5907822,0.008520661,1.3492439,0.21183547
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4284186,1.5554819,0.14719874,0.1614296,0.48654625,0.93794966,0.28048092,-0.43805018,1.4522374,-0.11015171,-0.58497703,0.037886504,1.3498589,0.23789464
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4255364,1.5563799,0.15021077,0.16371374,0.48186287,0.9346866,0.27766487,-0.437487,1.451428,-0.10544652,-0.58366585,0.016718019,1.3592007,0.19866498
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4284974,1.561139,0.14960974,0.16056575,0.49056453,0.9332233,0.28469566,-0.4294434,1.4514782,-0.11333154,-0.5896603,0.024204701,1.3530416,0.20757835
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4310495,1.5588129,0.14574496,0.16614936,0.4934258,0.9415635,0.2887741,-0.43524507,1.4520214,-0.11104827,-0.586312,0.018790714,1.360834,0.22923648
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4284647,1.5633909,0.1471256,0.16077706,0.49182197,0.93865985,0.27993572,-0.43239924,1.4501811,-0.10898656,-0.58742833,0.029661583,1.3536279,0.21883363
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4279058,1.5569589,0.15035664,0.16540608,0.48493546,0.9316737,0.2846958,-0.43876815,1.453811,-0.1081771,-0.5846933,0.025768025,1.351668,0.26823533
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4219052,1.5592719,0.14970124,0.16356726,0.4916822,0.94043213,0.28382716,-0.43617067,1.4501354,-0.10733139,-0.58675027,-0.00392907,1.3514168,0.23111074
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4237882,1.5570351,0.14961842,0.16394377,0.49214995,0.9378219,0.28607866,-0.44315645,1.4551551,-0.108869575,-0.58422023,0.019511567,1.3518578,0.2530831
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4315809,1.5579468,0.1492,0.16375099,0.49354225,0.9366882,0.28147417,-0.44220364,1.4513555,-0.114834696,-0.5851219,0.019366248,1.3496461,0.19170634
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4333671,1.5586544,0.14982618,0.16011687,0.48141003,0.93723196,0.28935245,-0.43983954,1.4523326,-0.11122885,-0.5883817,0.0321863,1.3530577,0.23163138
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4324332,1.5557843,0.14863838,0.15975031,0.48891234,0.93306965,0.30105644,-0.43045893,1.4493548,-0.11634453,-0.58467084,0.013542937,1.345005,0.19558522
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4322207,1.5586443,0.1477746,0.16325137,0.49018174,0.9413841,0.30029845,-0.4402698,1.4477733,-0.103231885,-0.5848557,0.030833667,1.3636743,0.220644
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4356288,1.5594705,0.14949578,0.1590128,0.49532455,0.9375067,0.27451247,-0.43812084,1.4512738,-0.12273941,-0.586462,0.0333382,1.3445967,0.18755919
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4226478,1.5572052,0.1487987,0.16098562,0.49609455,0.9358638,0.27851278,-0.43458173,1.4498116,-0.11703946,-0.5835759,0.023453299,1.3442919,0.24280545
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,1.1102230246251565e-16,1.4265181,1.5629748,0.1471723,0.168734,0.47674415,0.93221027,0.27600405,-0.43949062,1.4502277,-0.12599184,-0.5858297,0.016842358,1.3531966,0.117189
