x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3680791,1.6966434,0.34895396,0.2195392,0.4558678,0.32783884,0.35167336,-0.22274168,1.5921772,-0.46339104,-0.7146608,-0.19613142,1.2983692,1.5850248
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3784902,1.6969626,0.34531555,0.21529898,0.461894,0.34143943,0.33031726,-0.23880427,1.5878377,-0.43391177,-0.7060911,-0.19053908,1.3109334,1.5539867
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3838849,1.692488,0.34333673,0.21680018,0.5288767,0.33594614,0.3523835,-0.22964525,1.5831643,-0.43799955,-0.70573336,-0.20348158,1.3056129,1.5152475
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3695561,1.6999528,0.34824145,0.22297114,0.5191966,0.32404625,0.36323366,-0.2364594,1.5850166,-0.4421769,-0.7049008,-0.26607186,1.3065802,1.552779
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3783991,1.6946324,0.35440108,0.21706039,0.48654377,0.32728556,0.36600482,-0.23115414,1.5913609,-0.4405692,-0.70051074,-0.22965519,1.3009696,1.5910338
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3731503,1.689055,0.3488092,0.21906096,0.4502786,0.32597202,0.36434472,-0.2320085,1.5865434,-0.44319245,-0.7018298,-0.20399992,1.300936,1.4872193
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3865014,1.6968744,0.3395997,0.2225446,0.50207275,0.32895875,0.31954116,-0.23259257,1.5853583,-0.44251284,-0.6987026,-0.21853529,1.3049597,1.5813748
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3750795,1.7049545,0.35011464,0.22076918,0.43401888,0.33545643,0.36590034,-0.2335815,1.581886,-0.45315233,-0.70072526,-0.22780529,1.3071123,1.6158801
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3783519,1.691691,0.34561083,0.22062966,0.4904166,0.34292293,0.3496303,-0.22676985,1.5872217,-0.4510302,-0.70175034,-0.17499413,1.296032,1.5685685
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3876765,1.6982934,0.34736377,0.21742855,0.41630444,0.31645346,0.3471557,-0.22954223,1.592096,-0.44762647,-0.7106148,-0.19582643,1.2976903,1.3726437
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3682615,1.6921998,0.35354653,0.21592721,0.50332683,0.314193,0.40579158,-0.23394491,1.5958378,-0.45330384,-0.7169436,-0.19032298,1.3054109,1.5695184
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3805335,1.7016336,0.34146246,0.22031227,0.57397443,0.32487264,0.36053753,-0.22910656,1.5874377,-0.4546996,-0.70401424,-0.22307304,1.3108124,1.6505189
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3791939,1.6927055,0.34882668,0.21883644,0.4815203,0.33386144,0.39834803,-0.23429134,1.5840511,-0.44787842,-0.69686526,-0.22490752,1.3004558,1.5752785
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3860037,1.6948838,0.3458247,0.22007415,0.53253144,0.3164415,0.32990518,-0.23211889,1.5881556,-0.4413572,-0.7014533,-0.1893524,1.3032646,1.5947654
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3808599,1.6946336,0.34736913,0.21743663,0.47443682,0.32088885,0.32387027,-0.23101942,1.5831162,-0.42010155,-0.6999319,-0.21728812,1.296031,1.4739722
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3720156,1.6982877,0.3460692,0.2227433,0.45239747,0.32115653,0.3628601,-0.2332292,1.5867304,-0.45260057,-0.70930785,-0.24815673,1.3048153,1.5647979
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3645843,1.6959327,0.3669217,0.21709041,0.4582271,0.32109934,0.36878905,-0.23297572,1.585918,-0.46593177,-0.6960604,-0.22075382,1.2931241,1.6262773
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3744563,1.6983075,0.3470762,0.21997453,0.49733606,0.33732778,0.3738529,-0.2175387,1.5902789,-0.44623333,-0.69756365,-0.20419942,1.3043506,1.5900991
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.36915,1.695074,0.3446755,0.22340243,0.54954875,0.31714332,0.3835862,-0.22725576,1.5894572,-0.45662656,-0.7011077,-0.2267918,1.2989175,1.5774015
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3783517,1.694845,0.3511543,0.21365087,0.440366,0.32836533,0.34364003,-0.23410478,1.582028,-0.4724029,-0.7116618,-0.20875825,1.3072594,1.487819
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3714797,1.6957008,0.34460214,0.22562614,0.5245156,0.34659383,0.32469618,-0.22259398,1.588767,-0.43795183,-0.69934064,-0.24956958,1.3072294,1.5698566
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3785125,1.6982844,0.34893203,0.21871005,0.3999762,0.32245433,0.37402564,-0.23570412,1.5917691,-0.41662204,-0.7095075,-0.2857962,1.3073441,1.5390314
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3842648,1.7021984,0.34433383,0.22235082,0.4067966,0.32555184,0.35071427,-0.2317612,1.586996,-0.4773781,-0.7052911,-0.27404344,1.3135015,1.5674003
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3793547,1.6935897,0.34820223,0.22063555,0.42243874,0.3162701,0.35065216,-0.22056487,1.5844932,-0.4452528,-0.7106448,-0.21532302,1.2997483,1.5057533
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3864455,1.6897191,0.3437594,0.21903747,0.47674254,0.33249637,0.37590665,-0.22789678,1.5903279,-0.43483627,-0.7076884,-0.250778,1.3104707,1.5579664
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3794614,1.6907183,0.3419081,0.21862653,0.51634634,0.3262231,0.31356668,-0.22289355,1.5893869,-0.4268822,-0.70162654,-0.21022294,1.3058281,1.4838256
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3699875,1.6966503,0.34532073,0.2215549,0.520867,0.33064082,0.35293317,-0.22909309,1.5853969,-0.45475218,-0.69898146,-0.18946119,1.2954671,1.6392862
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3692942,1.6911204,0.34947532,0.21664922,0.47582546,0.33375087,0.3117909,-0.22748402,1.5884457,-0.43479964,-0.7006868,-0.19958584,1.2963896,1.6066737
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3853859,1.6907725,0.34621742,0.22926031,0.50507504,0.32642266,0.32904884,-0.2352669,1.5890527,-0.43542957,-0.6983093,-0.23528929,1.3088777,1.5994599
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3749416,1.6932552,0.34475815,0.22401576,0.5093713,0.31456092,0.3534292,-0.23423749,1.5863687,-0.43897265,-0.7002305,-0.18996845,1.304598,1.5435686
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3704293,1.6933169,0.34667167,0.22237311,0.5149387,0.32433516,0.35061502,-0.23124053,1.5929825,-0.45989856,-0.705518,-0.23920204,1.3084768,1.4493963
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3793371,1.6982746,0.35345164,0.21453878,0.5769506,0.32378504,0.3353515,-0.2243892,1.5866654,-0.44733033,-0.70479614,-0.22188725,1.3070416,1.5571913
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3787378,1.6934463,0.34372535,0.21825632,0.46601653,0.3306638,0.3568479,-0.23341502,1.588811,-0.46485338,-0.69800746,-0.24135652,1.2908418,1.5930212
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3739588,1.7025275,0.3532692,0.2189361,0.46580338,0.32675263,0.34000432,-0.22816736,1.5872551,-0.4535433,-0.7032102,-0.20047446,1.3045598,1.4853956
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3599848,1.6985532,0.35318735,0.22381626,0.52083826,0.32987538,0.3704782,-0.24153437,1.5880281,-0.44034144,-0.70255107,-0.22070384,1.3059337,1.6116217
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3719206,1.6905942,0.35267714,0.21255647,0.44953248,0.33354524,0.44799277,-0.22821914,1.5901418,-0.4356128,-0.7127744,-0.24305582,1.3034765,1.511097
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3797362,1.6933382,0.35158652,0.21812588,0.4994021,0.32373905,0.37167308,-0.22970033,1.5899701,-0.46349385,-0.7062699,-0.22667487,1.3074296,1.5692186
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3799521,1.7006409,0.34078988,0.21755396,0.5533925,0.32975718,0.3306578,-0.22332026,1.5920874,-0.45586678,-0.7025079,-0.21265218,1.2999219,1.5412474
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.377991,1.6985469,0.34211358,0.22063611,0.54259384,0.32517377,0.36743534,-0.23015048,1.589959,-0.46911895,-0.70686764,-0.17055644,1.2975177,1.5132725
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.373223,1.6929798,0.3475259,0.22163112,0.57673633,0.3190596,0.34150153,-0.22572862,1.5922822,-0.4288045,-0.7000299,-0.21428661,1.2969477,1.4708142
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3703806,1.68761,0.34148204,0.22825605,0.49548128,0.32321465,0.39292327,-0.22729291,1.5881538,-0.44310597,-0.70843786,-0.21122211,1.2994208,1.5848048
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3726752,1.6940956,0.35845107,0.21741672,0.40338272,0.32502666,0.3146459,-0.22585948,1.587843,-0.45306548,-0.70281434,-0.20496748,1.2962483,1.500205
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3811532,1.6928217,0.3521906,0.21887513,0.41114512,0.3332627,0.32821092,-0.23499863,1.5907826,-0.43659672,-0.7040881,-0.27092633,1.3111887,1.5280684
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3826325,1.7013307,0.3461543,0.22279193,0.5098132,0.31569967,0.36350262,-0.22525506,1.5895298,-0.4691534,-0.70071316,-0.22841936,1.3034695,1.5651317
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3735473,1.7046905,0.3446573,0.22300829,0.47746044,0.326771,0.3430108,-0.23437746,1.5845964,-0.44167042,-0.70119727,-0.23508644,1.3059846,1.4057524
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3855723,1.7011049,0.34423402,0.21866101,0.49362296,0.332221,0.35135487,-0.23354796,1.5898069,-0.44398344,-0.70670956,-0.23736231,1.3076293,1.5804247
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3823597,1.69434,0.34876534,0.2162764,0.565715,0.3414155,0.36621976,-0.24395229,1.5843706,-0.43167534,-0.70416945,-0.23624554,1.3090134,1.5686101
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3836992,1.6977888,0.35428852,0.22045015,0.3693841,0.3341096,0.34966645,-0.22260535,1.5872502,-0.45060015,-0.6948608,-0.25833845,1.2995038,1.607634
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3658396,1.6911265,0.3531092,0.22390406,0.44786572,0.34048513,0.31752157,-0.22732916,1.5859404,-0.45343164,-0.7007788,-0.21459636,1.3035628,1.445619
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3737468,1.697938,0.34509584,0.2174653,0.56582475,0.31935948,0.3640546,-0.2316002,1.5868624,-0.44033432,-0.7060701,-0.2417741,1.3005569,1.5341643
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3840017,1.697706,0.36019552,0.21250774,0.47255167,0.3164132,0.34735867,-0.22430438,1.5924354,-0.4543747,-0.7076054,-0.22625542,1.3043007,1.6247208
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3744683,1.6906221,0.34844306,0.21884756,0.5626702,0.32471249,0.3327011,-0.2302922,1.5860734,-0.4282158,-0.7044743,-0.21634445,1.3055372,1.4629383
-0.2,-0.2,0.6,-0.5235987755982988,0.523598775598299,0.1745329251994331,1.3700011,1.6963942,0.34938347,0.21854353,0.439256,0.33779836,0.3668675,-0.2243523,1.5895609,-0.43291572,-0.70499533,-0.25275245,1.3070768,1.6413552
