x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0977229,1.7691249,0.574284,0.107880495,0.34077352,0.061415266,0.89713717,-0.16685024,1.5511175,-0.23235075,-0.5768975,-0.3821958,1.4652387,-0.23506726
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0968472,1.7686481,0.57506603,0.11734577,0.323604,0.076179154,0.90385664,-0.18238676,1.5492846,-0.23047177,-0.5717755,-0.35730144,1.461467,-0.19538562
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0913006,1.7645506,0.5695729,0.109539144,0.33256575,0.110944584,0.8063918,-0.17493832,1.5452988,-0.22961113,-0.5643142,-0.3184688,1.4654366,-0.4122262
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0995202,1.7580302,0.571155,0.11413932,0.3092483,0.07637919,0.8813263,-0.17536178,1.5465025,-0.23047662,-0.5659234,-0.3522173,1.4485064,-0.11210975
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0964009,1.7805682,0.5747853,0.111622244,0.31226066,0.100832894,0.8956714,-0.18715535,1.5476059,-0.22541066,-0.5786442,-0.32657337,1.4579941,-0.33496416
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0994731,1.7702167,0.5745408,0.11677995,0.33581337,0.09500507,0.7848554,-0.18944246,1.5401777,-0.22451887,-0.5794692,-0.3320931,1.4492748,0.11014404
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0955628,1.765897,0.5718148,0.10239567,0.34935832,0.08443092,0.84592426,-0.17496732,1.5478021,-0.23877044,-0.55936825,-0.32325533,1.4582399,-0.23471195
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.1016842,1.7648207,0.56908053,0.116812,0.3137226,0.104740806,0.8673035,-0.18214989,1.552737,-0.22717024,-0.56136775,-0.31703508,1.4754722,-0.32243526
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0959332,1.7673709,0.57290435,0.11508721,0.35050583,0.08348945,0.97155154,-0.17930849,1.5504806,-0.23947033,-0.5699063,-0.34101075,1.4526833,-0.4217661
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0954684,1.7751293,0.5872245,0.11506373,0.32369322,0.08142936,0.73495513,-0.18520331,1.5467364,-0.22812998,-0.5724367,-0.34644806,1.4600062,-0.4514935
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.101281,1.7610146,0.57176733,0.12001394,0.30796272,0.085142985,0.8448909,-0.17863879,1.5482649,-0.23326008,-0.55724305,-0.32872596,1.4496694,-0.13250223
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0993644,1.7767837,0.5709419,0.12747897,0.31643435,0.08321118,0.95496255,-0.181086,1.5501828,-0.22869465,-0.576248,-0.33543578,1.4619535,0.10477269
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.098564,1.7690765,0.57276756,0.11137284,0.317502,0.09369561,0.91929233,-0.18038501,1.5497596,-0.22840838,-0.55670404,-0.35075784,1.4699486,-0.24822265
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0991986,1.7708938,0.57559514,0.11610215,0.33192778,0.08553148,0.94827944,-0.182407,1.543929,-0.22461854,-0.56792754,-0.3429163,1.460676,-0.14419143
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0939145,1.760002,0.57300323,0.117099136,0.33570358,0.075688474,0.83677053,-0.17983294,1.5467825,-0.22360809,-0.5687563,-0.3529781,1.4699669,-0.22879751
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.1026392,1.7753179,0.568834,0.11556778,0.33961162,0.093629636,0.9564758,-0.17868349,1.5479943,-0.23420295,-0.57088906,-0.3219116,1.4667494,-0.41818592
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.104638,1.7772132,0.5716183,0.117184766,0.33583376,0.090214625,0.86517286,-0.18410698,1.5515099,-0.23719329,-0.5704835,-0.33843964,1.4542133,-0.3004499
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0921954,1.7752249,0.5774312,0.10860591,0.34834212,0.08524122,0.8340469,-0.17222792,1.5464525,-0.21392648,-0.57008046,-0.3400643,1.4736999,-0.13245218
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0983149,1.7563992,0.56748897,0.11298289,0.33099148,0.07634427,0.8845911,-0.18456085,1.5468317,-0.2292389,-0.5546278,-0.3477303,1.4448818,-0.44542617
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.094648,1.7617491,0.5733969,0.12015679,0.34711295,0.07370841,0.784294,-0.17616463,1.5460545,-0.22072294,-0.55227333,-0.33934587,1.4583213,-0.17524403
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0977625,1.775048,0.5774859,0.11177468,0.33790872,0.08413302,0.79706633,-0.17070226,1.547865,-0.22374104,-0.5598922,-0.35125187,1.4668776,0.029431622
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.095257,1.7636832,0.5694836,0.12053825,0.29519257,0.07741059,0.9012679,-0.17563428,1.5437677,-0.2162087,-0.5696287,-0.34013686,1.450042,0.027320292
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0990667,1.7677006,0.5662097,0.11255893,0.3275124,0.10756519,0.9989075,-0.18156208,1.5475094,-0.2246284,-0.55378485,-0.33685625,1.4620941,-0.18262291
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0983893,1.7638146,0.5724855,0.1196764,0.33735743,0.08412764,1.0222982,-0.17771569,1.5451277,-0.23173872,-0.56170887,-0.32192647,1.463037,-0.18392248
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.099932,1.7712072,0.5727243,0.113369256,0.34611857,0.09265179,0.9034089,-0.17273259,1.5461907,-0.22881103,-0.5679427,-0.33695477,1.4596419,-0.3784816
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0963272,1.7720321,0.5798077,0.11655151,0.32500875,0.0800538,0.82116747,-0.17648129,1.5508584,-0.23232546,-0.5614834,-0.32969743,1.4553349,-0.04494473
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.089348,1.7647698,0.5743452,0.114450544,0.32494715,0.089939974,0.77113265,-0.18049565,1.5493141,-0.23432496,-0.56584126,-0.3168412,1.4517733,-0.38176972
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0893354,1.7669128,0.5787647,0.1118025,0.3157505,0.078762725,0.8917033,-0.17860352,1.5511553,-0.22677138,-0.5447267,-0.32257655,1.4675113,-0.16961043
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.1072214,1.7667978,0.5776371,0.10985966,0.362225,0.07190469,0.78422815,-0.18688442,1.5510832,-0.22494854,-0.5591575,-0.31948572,1.4651909,-0.4137452
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0983878,1.7671359,0.5734782,0.12034007,0.32212406,0.08061476,0.8410739,-0.18057436,1.5438344,-0.23991808,-0.5653288,-0.34712258,1.4592878,-0.44862878
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.1033494,1.7635305,0.5680813,0.11298589,0.31419575,0.07962578,0.8951963,-0.17889874,1.5507675,-0.23049508,-0.5541553,-0.3341877,1.4576231,-0.057221264
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0971599,1.7632635,0.5747084,0.11562365,0.31978378,0.08491715,0.8780337,-0.18435173,1.5490685,-0.23352806,-0.5514469,-0.33483988,1.454179,-0.13390726
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.095809,1.7704216,0.56679183,0.119073875,0.32482755,0.07906476,0.8918315,-0.18298234,1.5490274,-0.22337617,-0.5581176,-0.34769645,1.4542421,-0.25669423
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0967922,1.7596214,0.5702338,0.11247966,0.3437046,0.091697544,0.83398366,-0.17584483,1.5455976,-0.22822976,-0.5546727,-0.33790272,1.4523591,-0.06265933
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0981133,1.7642382,0.5715273,0.11376889,0.323794,0.09279316,0.8965086,-0.1833286,1.546543,-0.23133701,-0.5680424,-0.33441862,1.4540994,-0.22707987
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0934234,1.7765377,0.56853026,0.118081294,0.3129209,0.085295,0.8389826,-0.17709379,1.5513124,-0.23058505,-0.55495864,-0.3218865,1.4547771,-0.260592
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,-0.34906585039886584,1.0948082,1.7597167,0.5667721,0.111544296,0.33077195,0.08313566,0.8917314,-0.18503831,1.5478444,-0.21584271,-0.5575683,-0.3473451,1.4459021,-0.11303472
