x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2432851,1.7095089,0.24358307,0.3268843,0.53776234,0.451263,0.10675849,-0.2719726,1.591445,-0.47729394,-0.73964214,-0.23964038,1.2950732,1.358861
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2517037,1.7091415,0.24432194,0.32742214,0.4876502,0.45619175,0.09038116,-0.27297103,1.5929058,-0.4769861,-0.73639745,-0.24546972,1.295953,1.3587301
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2560636,1.711262,0.24192056,0.33001944,0.505379,0.45479617,0.08802697,-0.27155885,1.5916928,-0.48039767,-0.7377667,-0.25048807,1.2942226,1.3395752
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2405615,1.7101083,0.24527662,0.32931828,0.48789796,0.4533031,0.10891651,-0.27109984,1.5909145,-0.47880626,-0.7388238,-0.26355997,1.2962902,1.3113122
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2465763,1.7113043,0.24153993,0.32851186,0.51037246,0.45324677,0.1537943,-0.27086213,1.5912584,-0.46557552,-0.7367345,-0.24104674,1.297288,1.2887015
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.247775,1.710809,0.24435543,0.32821217,0.47183913,0.4527654,0.022515764,-0.27208906,1.5914593,-0.47183895,-0.7377316,-0.21429792,1.2970098,1.4131233
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2423825,1.7099897,0.24232489,0.328413,0.56419253,0.44925714,0.12446593,-0.27201328,1.5919703,-0.46428356,-0.7375039,-0.27110323,1.296579,1.4467574
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2454756,1.7078568,0.24339995,0.330751,0.4858146,0.45433825,0.121443525,-0.27176479,1.5927926,-0.47028062,-0.7381929,-0.25282276,1.2943629,1.3206165
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2413408,1.708939,0.2478076,0.3322348,0.5218615,0.4548998,0.116202906,-0.2732548,1.5920324,-0.47106653,-0.7369842,-0.25850686,1.2950176,1.3700947
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2525615,1.707596,0.24637644,0.3302572,0.5111203,0.4529067,0.15051521,-0.27125102,1.591776,-0.4692516,-0.7370875,-0.26774976,1.2958766,1.4289813
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2523369,1.7096695,0.24538386,0.33031705,0.50349826,0.45407495,0.06310183,-0.2713556,1.5925065,-0.47571567,-0.73916477,-0.26015353,1.2978593,1.4373322
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2520269,1.7133796,0.24275136,0.32781056,0.49767354,0.45459372,0.13259992,-0.27214456,1.5912068,-0.4749949,-0.739791,-0.2538623,1.292746,1.3992388
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2471486,1.7094578,0.24212033,0.32990596,0.48040086,0.4571477,0.13180566,-0.27105016,1.5910149,-0.46823648,-0.73768044,-0.26135686,1.2994047,1.2283818
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2471243,1.7098664,0.24349658,0.32802835,0.4978588,0.4542449,0.16033675,-0.26957098,1.5916538,-0.47036314,-0.7389757,-0.25206625,1.2960728,1.3042142
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2491235,1.7120556,0.24447204,0.3282694,0.5191867,0.4515564,0.08200734,-0.2714763,1.591406,-0.4694358,-0.7393588,-0.25778806,1.2953813,1.315654
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2477151,1.709577,0.24280885,0.3272243,0.5136435,0.45563447,0.032792963,-0.271785,1.5918252,-0.4703207,-0.7369446,-0.23236798,1.296263,1.4046508
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2457952,1.7091092,0.24357809,0.32713556,0.506861,0.45284438,0.1328531,-0.27143866,1.5909935,-0.47818068,-0.7389461,-0.2533085,1.2951322,1.2712111
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2509183,1.7106307,0.24395114,0.32850575,0.53743464,0.45488623,0.08014436,-0.27009872,1.5919276,-0.4743576,-0.73623407,-0.26534763,1.2951589,1.2412171
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2510489,1.7054049,0.24596307,0.32767957,0.5309223,0.45749253,0.16135104,-0.27102944,1.5925899,-0.47605577,-0.7379732,-0.24440612,1.2992948,1.3007168
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.246851,1.7119135,0.24557422,0.3264267,0.50846595,0.4569459,0.06822781,-0.27039763,1.5915678,-0.47580588,-0.7377894,-0.2450459,1.2949932,1.3975495
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2446386,1.7094944,0.2434304,0.33002344,0.5060009,0.45391607,0.09699935,-0.2711968,1.5918872,-0.47384334,-0.739867,-0.2595782,1.2906812,1.2972438
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2463098,1.7077,0.24568257,0.32779634,0.4745243,0.452637,0.02203962,-0.27129644,1.5915964,-0.47420824,-0.7385114,-0.2510285,1.2959602,1.2834051
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.244573,1.7121571,0.2428489,0.32687524,0.5226213,0.44988483,0.14802316,-0.27125275,1.5907348,-0.47293997,-0.7361036,-0.24608439,1.2909782,1.4086522
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2369046,1.7106627,0.24294862,0.3268803,0.53320926,0.45183578,0.110432655,-0.27189344,1.591163,-0.47297058,-0.7378799,-0.24273165,1.2939136,1.349892
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.250169,1.7112415,0.24580935,0.32921356,0.51554906,0.4529606,0.08007197,-0.2707848,1.5914586,-0.47077927,-0.7384687,-0.26022887,1.295708,1.4020382
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2394154,1.7108513,0.244451,0.327613,0.52738553,0.45027393,0.07272225,-0.27154914,1.5918573,-0.47446182,-0.7389249,-0.23686567,1.2981783,1.3984668
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2413967,1.7082818,0.24507694,0.32886332,0.50449723,0.45062935,0.061759837,-0.27112013,1.5912281,-0.4773196,-0.7390435,-0.2640196,1.2979515,1.2349951
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2465155,1.7093669,0.24321647,0.32996807,0.51073366,0.45145655,0.08910949,-0.2707014,1.5911982,-0.46396238,-0.739625,-0.2703101,1.296025,1.3794842
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2388602,1.7125068,0.24382019,0.32702285,0.46482974,0.45826295,0.034967892,-0.27225143,1.5914637,-0.46819487,-0.7384963,-0.25322968,1.2917053,1.3940967
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2452133,1.7110964,0.24373275,0.32590425,0.5400051,0.45321763,0.12507339,-0.27340382,1.5912312,-0.4721834,-0.7389483,-0.26687402,1.2969649,1.3317915
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2455852,1.7076246,0.24508865,0.32908684,0.5088954,0.455454,0.10022692,-0.2729182,1.5929791,-0.4696759,-0.738582,-0.22573186,1.2962239,1.4425293
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2441806,1.7123655,0.24614064,0.32896742,0.51740813,0.4504064,0.11434955,-0.27026516,1.5928906,-0.47415522,-0.73659796,-0.23587671,1.2960868,1.3317757
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.244993,1.7098637,0.24395843,0.32983536,0.5227318,0.45067868,0.07457953,-0.2720067,1.5922043,-0.4790425,-0.7383638,-0.23875186,1.2972012,1.25559
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,0.523598775598299,1.2503626,1.7093966,0.24177775,0.32874882,0.5271306,0.4574972,0.15420316,-0.27193254,1.5922486,-0.47408274,-0.73823804,-0.2563095,1.2947788,1.34991
