x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.1903483,1.5952374,0.33613667,0.6000683,0.15872562,-0.041956544,0.46495298,-0.34286594,1.5560807,-0.41497844,-0.5738726,-0.22308047,1.3251141,1.6365623
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.2128413,1.5862842,0.34624764,0.56152415,0.16831906,-0.0444165,0.47298345,-0.31565377,1.5565779,-0.38406405,-0.57329774,-0.17098968,1.3368855,1.8670391
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.2334623,1.5932178,0.344221,0.5837235,0.18433918,-0.064790696,0.49903226,-0.37119332,1.5776204,-0.3949615,-0.5976461,-0.16757321,1.3278645,1.7699085
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.2185534,1.5895568,0.3289896,0.61013544,0.19595452,-0.05507403,0.48074594,-0.348115,1.5505819,-0.39232445,-0.6373946,-0.20580608,1.325614,1.8918422
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.2203103,1.5943372,0.34050274,0.5822539,0.1695365,-0.048721872,0.39319357,-0.34146482,1.5660644,-0.44769868,-0.6203936,-0.15102701,1.3033665,1.7336056
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.2117202,1.6008168,0.34903732,0.5944795,0.124744855,-0.06655575,0.42032748,-0.35425454,1.5530996,-0.3763181,-0.6199219,-0.1546351,1.3901169,1.5406778
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.1916924,1.6007584,0.34094453,0.5860604,0.17578316,-0.04275591,0.42992815,-0.35435635,1.5481304,-0.39869487,-0.5908141,-0.22493415,1.3139697,1.5818592
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.1908395,1.6041268,0.35256454,0.58085483,0.23738033,-0.042570494,0.44206157,-0.33874583,1.5614781,-0.4150824,-0.59108055,-0.13969587,1.3193804,1.613819
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.2085158,1.5986792,0.34370312,0.5801297,0.13204725,-0.041806683,0.39816657,-0.3434955,1.5600471,-0.4027137,-0.61661047,-0.21590246,1.3209327,1.937262
-0.2,-0.2,0.6,-0.5235987755982988,1.1102230246251565e-16,1.1102230246251565e-16,1.191479,1.5980066,0.34094596,0.5947682,0.1460577,-0.053973705,0.49594748,-0.35482034,1.5362318,-0.39997914,-0.6285862,-0.25926462,1.3032328,1.7174354
