x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8481436,1.4749433,0.43913972,-0.011126218,0.08562857,0.80261254,1.4567914,-0.14277107,1.5914195,-0.67918354,-0.27785456,-0.6027772,1.3359332,-0.48902842
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8479662,1.4852576,0.43904877,-0.0010900475,0.07694387,0.79334223,1.4458348,-0.14130588,1.5856434,-0.68639344,-0.27394924,-0.5986539,1.3288338,-0.48192957
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.849872,1.4772394,0.44186375,-0.009418056,0.07772872,0.7886359,1.4240378,-0.14273024,1.5859873,-0.6673371,-0.2733937,-0.59099907,1.3278959,-0.5032124
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8603752,1.4764048,0.43872717,0.0010996141,0.07537164,0.80528384,1.443651,-0.14182985,1.5933957,-0.683263,-0.27883127,-0.5911583,1.335442,-0.51678574
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8447218,1.4622393,0.43712118,-0.0074231313,0.091161646,0.79539883,1.4361893,-0.14254278,1.5934495,-0.6794547,-0.28020886,-0.6085548,1.3286859,-0.5083699
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8533678,1.4809473,0.43851992,-0.008659746,0.07526002,0.78694886,1.4333018,-0.14523087,1.5888861,-0.6712427,-0.27745882,-0.5815756,1.3288908,-0.51624453
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8474633,1.4720718,0.43753007,0.0010561387,0.07749116,0.7790751,1.4454496,-0.14482328,1.5810813,-0.677917,-0.27442017,-0.6032301,1.3375665,-0.51634413
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8568919,1.4824066,0.43996617,-0.0065126736,0.08142089,0.79761374,1.4350349,-0.14333086,1.5888283,-0.6897002,-0.2716602,-0.6023306,1.3280479,-0.5082463
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8565934,1.4702777,0.44123653,-0.0010741388,0.089361615,0.783473,1.4344419,-0.1416562,1.5863154,-0.67585725,-0.27360326,-0.6076008,1.3344425,-0.46573037
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8392435,1.4750537,0.44529206,-0.001849757,0.07495064,0.79687124,1.4527003,-0.13894048,1.5921474,-0.6647429,-0.2762915,-0.5875344,1.3386087,-0.5055605
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.845056,1.4771069,0.4390292,-0.011353718,0.0840822,0.7618029,1.4547274,-0.14586887,1.5933206,-0.68909323,-0.27462113,-0.6114245,1.3282272,-0.48562586
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8549192,1.4794289,0.44048855,-0.0048923464,0.087811336,0.7911807,1.4216174,-0.14239258,1.5888617,-0.67394507,-0.27063805,-0.62020344,1.3346277,-0.5310974
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.857907,1.4737328,0.43656674,-0.008600534,0.08278422,0.7970311,1.4622126,-0.14722648,1.5910474,-0.67497194,-0.27132004,-0.616366,1.3238013,-0.5079804
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.847763,1.4896766,0.4406796,-0.007295585,0.07888288,0.8197282,1.4299679,-0.14178833,1.5885108,-0.68002033,-0.2783744,-0.60810196,1.3314568,-0.52652115
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8540384,1.4765786,0.44025984,-0.008314778,0.08015794,0.79143536,1.4472435,-0.13891058,1.5806986,-0.6796186,-0.2766352,-0.6155794,1.3272756,-0.4890277
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8599647,1.4832971,0.43617183,0.0010954259,0.0735406,0.76716214,1.4481353,-0.14195085,1.5863918,-0.68007684,-0.27605316,-0.610767,1.3337442,-0.50153565
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8509827,1.4776318,0.44183683,-0.006946598,0.09144709,0.79097545,1.4371372,-0.14038019,1.5873643,-0.6866817,-0.2755145,-0.5920929,1.3316891,-0.4864086
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8431107,1.4853328,0.43552288,0.0013528108,0.09303189,0.7969947,1.4453597,-0.14499405,1.5879027,-0.67068523,-0.2765332,-0.60033023,1.328709,-0.50215507
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.841223,1.4844083,0.44078615,0.0044522975,0.08851466,0.7796399,1.4425985,-0.1417097,1.5948944,-0.6715787,-0.27837932,-0.59301984,1.3326843,-0.5211291
-0.2,-0.2,0.7,-0.5235987755982988,-0.5235987755982988,0,1.8502773,1.4773263,0.44006026,-0.008783631,0.08916413,0.78812706,1.4473758,-0.1414762,1.5951381,-0.67497313,-0.27357215,-0.59554625,1.3328346,-0.481035
