x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6142598,0.119350635,1.2030525,0.47538772,0.3587874,0.5496517,-0.02084264,1.118414,1.4555134,0.03977414,-0.085219376,0.18176335,1.1857649,0.6070877
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6168132,0.11451371,1.2042719,0.47478923,0.35431135,0.5417708,0.5541192,0.43561655,1.3603402,0.46163625,-0.12828429,-0.009994369,1.3002745,-0.8866235
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6185252,0.11585103,1.2038743,0.4719111,0.35953304,0.5413302,0.1737232,0.13801695,1.2757285,0.21683249,-0.12044178,-0.2609464,1.3066446,-0.22598864
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61704814,0.114354566,1.2044065,0.4688682,0.35223255,0.5381574,-0.16881658,0.67859113,1.1415359,-0.15024243,0.021702098,0.12821217,1.0447099,-0.58207613
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61171424,0.11682319,1.2003224,0.47249597,0.3680774,0.5434985,-0.059674766,-0.52187407,1.4887588,0.23349239,-0.080716476,0.010475655,1.2511152,0.83391243
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61789703,0.116047576,1.2028623,0.468167,0.34044832,0.55457234,-0.045139585,-0.33128726,1.2893851,0.023379141,-0.084450684,0.24837367,1.3513806,0.0037218123
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6172045,0.113588065,1.2043971,0.466939,0.36252138,0.53639835,0.23944815,1.2139012,1.5499259,0.039759994,-0.1764476,0.10013682,1.1865202,0.4686513
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6256367,0.12050616,1.2026407,0.4698495,0.36112115,0.5551162,0.1805242,0.04505556,1.340626,0.7610191,-0.00942103,-0.33730456,1.2043971,1.5889801
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61273485,0.11691246,1.2031952,0.47365585,0.3521796,0.5510122,0.052809287,-0.63118225,1.4869285,0.3680961,-0.04387159,-0.2712163,1.1976775,0.4502264
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6138799,0.11689199,1.2011696,0.47041455,0.35650125,0.5491406,-0.011014607,-0.24735764,1.5237114,0.17763263,-0.111646466,0.16861473,1.0838139,0.7956101
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61893284,0.11858382,1.2043167,0.47924277,0.34766677,0.55109036,0.34169313,0.016429354,1.1700177,0.355006,-0.09899678,0.0110917175,1.0904341,0.07880336
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61659193,0.11866897,1.2007468,0.4828222,0.3618982,0.53735495,-0.0177684,-1.1328264,1.3767695,-0.05582634,-0.14878736,-0.081126615,1.2096261,0.64160526
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.62193,0.11107255,1.2039791,0.47534347,0.35667926,0.5539224,0.38644493,0.6900572,1.1480042,-0.14586748,-0.043134715,-0.43272164,1.2365565,0.8524123
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6228001,0.11311804,1.2043003,0.47227037,0.36387363,0.55251735,0.003939521,-0.5772786,1.2915009,-0.016429994,-0.13491477,-0.14554632,1.1651098,0.8473827
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6157514,0.12331271,1.2015257,0.47862512,0.34750202,0.56153697,0.008507615,0.2533558,1.356067,0.18517254,-0.04005832,0.37766188,1.2192278,0.3885138
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6211826,0.11604413,1.2041302,0.4748822,0.34967017,0.5529918,-0.22480649,-0.58675754,1.4710675,-0.051833782,-0.012165742,0.1610764,1.3291385,0.8386907
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6129932,0.11400569,1.2044396,0.47738278,0.36408707,0.5351828,-0.023510514,0.006964935,1.2231017,-0.028907204,-0.059173115,0.07100459,1.2646081,0.5614883
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61844206,0.11731823,1.20405,0.47142142,0.36022702,0.54337865,-0.031965595,-0.25201052,1.4064558,-0.4842818,-0.16514328,0.08485297,1.2479364,0.59257823
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6169059,0.11958733,1.2027215,0.4804836,0.3643826,0.54907787,0.04795477,-1.5170299,1.3083637,-0.047930326,-0.09075359,0.17701074,1.2021872,1.3548675
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61719656,0.1190588,1.199795,0.4623116,0.36860675,0.5491265,0.29679996,0.5406929,1.234372,0.19924614,-0.016083708,-0.13201131,1.2374988,-0.18230167
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61526173,0.12019162,1.202864,0.4751803,0.35017106,0.54851484,-0.05163478,0.72796226,1.0612715,-0.21867587,0.015445382,-0.28408208,1.1968368,-0.73565024
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.61278594,0.11513475,1.2078285,0.46905607,0.35630438,0.5465511,-0.46054953,-0.020287253,1.1892378,0.19631192,0.039106984,-0.2332092,1.225212,0.3608977
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.60867757,0.1157058,1.2024623,0.4728921,0.3556703,0.54577714,-0.26520693,0.2561423,1.3980049,0.04918686,-0.12271496,0.1427358,1.1790433,-0.016167702
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.60846204,0.118578,1.2079283,0.4816974,0.35300255,0.5408528,-0.13011014,0.26911172,1.4924432,0.21068895,0.043258827,-0.16447042,1.1305455,0.7230965
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6223129,0.11723835,1.2028533,0.4814275,0.34952593,0.55226123,-0.021483008,-0.025196293,1.4491621,-0.17196673,-0.057616636,-0.19937481,1.2243813,0.3734598
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6175152,0.11221012,1.2065088,0.47331282,0.34858426,0.54535943,0.33077487,-0.5719751,1.345237,-0.106784046,-0.09378818,-0.21900256,1.2227384,1.6076505
-0.2,0.10000000000000003,1.4999999999999998,0.5235987755982988,0.5235987755982988,0,0.6183681,0.12068221,1.2030972,0.48548475,0.3393198,0.55300313,0.29037952,-1.0226712,1.4111689,0.353134,-0.020335497,-0.5677859,1.2152325,0.031552486
