x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.311687,1.9703418,-0.26449984,-0.80317646,0.06980495,1.3235545,-2.1229045,0.33207494,1.5006593,0.30583307,-0.39039075,-0.40302262,1.4816991,0.99747014
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.322937,1.9672115,-0.28042412,-0.7839767,0.056953628,1.3272191,-2.0575888,0.33497763,1.4940072,0.3293144,-0.38135704,-0.3869236,1.4748033,0.9277778
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.3351815,1.9590089,-0.29537714,-0.82360095,0.08668272,1.3839713,-2.2636595,0.34578574,1.492316,0.30276498,-0.33202967,-0.3921327,1.483919,0.9718149
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.3047209,1.9449699,-0.27546844,-0.79768115,0.02794941,1.3355215,-2.0957038,0.3369194,1.4965631,0.2996948,-0.36610433,-0.37192303,1.4551231,0.9357989
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.2663567,1.9579515,-0.28602147,-0.7924532,0.03481124,1.3351395,-2.2431896,0.35071835,1.5111613,0.30902606,-0.31433612,-0.3688572,1.4737637,1.0308613
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.2878269,1.944685,-0.2666041,-0.7903278,0.08820531,1.3319142,-2.2236826,0.34070417,1.4904076,0.30966052,-0.3484495,-0.40887925,1.4763987,1.0110828
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.297859,1.951928,-0.3005475,-0.8471003,0.08361338,1.3279784,-2.254835,0.32063365,1.4939367,0.30481687,-0.36472276,-0.40851203,1.4754834,1.052905
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.3011713,1.9374343,-0.28304613,-0.80247444,0.09117835,1.3622082,-2.254959,0.35850012,1.4978447,0.33082527,-0.36240923,-0.40757433,1.4795961,0.8657807
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.3088385,1.9690353,-0.2822232,-0.8187365,0.06586182,1.333485,-2.187644,0.31450075,1.4954177,0.30386567,-0.35031083,-0.3799896,1.4955887,0.97885484
0.1,-0.1,0.6,-0.5235987755982988,0.5235987755982988,0,-1.3245304,1.954143,-0.28124514,-0.7744202,0.010868562,1.34834,-2.3244495,0.33724877,1.4892876,0.31736526,-0.3737824,-0.37074986,1.4890258,0.7982767
