x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2213448,1.9784837,-0.1723895,-0.44118798,-0.036183156,1.1466434,-0.7381204,1.1894193,1.4540997,-0.23211625,-0.183313,-0.64117634,1.5537984,-2.984154
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.226239,1.9738464,-0.18257464,-0.43567342,-0.027781513,1.1437508,-0.643256,1.1873884,1.4479262,-0.23680617,-0.18727711,-0.6391986,1.5519894,-2.9778726
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2144306,1.9792873,-0.17686075,-0.44458506,-0.057836495,1.1456069,-0.688828,1.1882119,1.4546425,-0.23191059,-0.1795578,-0.6246193,1.5518315,-2.867253
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2006545,1.9813001,-0.17839344,-0.43722552,-0.01786423,1.1530489,-0.7440622,1.1812365,1.4440755,-0.2345295,-0.18498605,-0.612296,1.5546677,-2.9443316
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2302504,1.9763553,-0.18232769,-0.43730062,-0.051190272,1.1465873,-0.7873307,1.1872016,1.4545909,-0.22848178,-0.1854345,-0.6792462,1.564141,-2.8392978
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2096254,1.9748489,-0.1675244,-0.45144516,-0.018824482,1.1503669,-0.67081994,1.1846118,1.455733,-0.23666124,-0.17537566,-0.6449936,1.5581986,-3.015426
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2214061,1.9664491,-0.17722037,-0.44052005,-0.009530175,1.1548764,-0.6374719,1.1827397,1.4498907,-0.23771879,-0.17710924,-0.6359496,1.5565485,-2.8112347
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2202855,1.9768854,-0.17223021,-0.4403066,-0.04619755,1.1448344,-0.7648757,1.1832957,1.4527109,-0.23036264,-0.1826702,-0.6416068,1.556797,-2.9700456
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2288873,1.9937363,-0.17097588,-0.4485453,-0.0597747,1.1557022,-0.5337864,1.1895082,1.4513345,-0.2291731,-0.18049489,-0.6298774,1.5533766,-3.0662713
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2233279,1.9767288,-0.18542293,-0.45151222,-0.03587813,1.1470534,-0.85630894,1.1845053,1.4649835,-0.23334633,-0.18472198,-0.6864292,1.5560802,-2.933556
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2332331,1.9845227,-0.17892763,-0.4455759,-0.02661075,1.1408113,-0.8747625,1.1833674,1.446623,-0.2323525,-0.18886082,-0.64205784,1.5558598,-2.8216016
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2246115,1.9859167,-0.18508963,-0.44813904,-0.045441974,1.1602906,-0.67821723,1.1804726,1.4538774,-0.2280294,-0.19362955,-0.6518829,1.5638292,-2.8861663
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2075536,1.9861928,-0.17801519,-0.44239652,-0.05717253,1.1586593,-0.7779674,1.1912754,1.4580314,-0.23299445,-0.18277764,-0.65145504,1.5582285,-2.8935037
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2235855,1.9857016,-0.17837566,-0.4416595,-0.04142292,1.1485707,-0.68407285,1.1860224,1.4468229,-0.23096032,-0.18850176,-0.6470018,1.5516734,-2.9405613
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2213578,1.9799235,-0.16984937,-0.43868938,-0.048126467,1.1629219,-0.6091406,1.1855369,1.4506239,-0.23623155,-0.18111426,-0.61943156,1.5569432,-3.1120603
0.1,-0.1,0.7,0.5235987755982988,0.5235987755982988,0,-1.2197849,1.9866564,-0.17311394,-0.4413946,-0.102376476,1.1543599,-0.6603569,1.1850251,1.4481771,-0.23367257,-0.18789628,-0.6458529,1.5481645,-2.9469929
